iso_id,j0,j1,j2,se_j0,se_j1,se_j2
LBY,2.3767011323284493,-0.007228383642405179,-0.00043373981293348685,0.282982704846826,0.012468989498649847,0.0001056874941634269
LKA,1.30238069841405,0.05247160039899286,-0.0010897370972769542,0.05176253822751048,0.006291914044349219,2.473942424507405e-05
LSO,1.3393072682058804,0.049454810694837564,-0.0010418426447402068,0.04697756922138279,0.006271922257156523,2.3908385385041363e-05
LTU,1.5560092793063234,0.0312728940653898,-0.0008623339539461372,0.23534572239645682,0.010969017227090802,9.39700788545209e-05
LUX,0.8329619982279155,0.050387183841751004,-0.001029658103280602,0.04198562954342409,0.005953540475441055,2.3939078116338358e-05
LVA,1.7196849395240978,0.02449342591182377,-0.0007948280404312391,0.23541700551448919,0.010959397273326581,9.398430800390141e-05
MAR,1.220657373443646,0.04847220647218614,-0.0010140189543787481,0.0544738006781182,0.006337098242998614,2.9485043423779207e-05
MDA,0.1741071500434533,0.09234300165077733,-0.0014630550284311372,0.23357814073204883,0.011049013642740592,9.39839186567464e-05
MDG,1.1683735960022816,0.05581433430252984,-0.0010470435063343886,0.0510667603470734,0.006102655390591439,2.3922549075132846e-05
MEX,1.0390296111561927,0.04803068452847289,-0.000986663772666832,0.04886512870097883,0.006104690622172736,2.3916009143262217e-05
MKD,0.5057261670591541,0.07412978297854753,-0.0012629079147826183,0.17917006758084103,0.009541078743367952,7.93723557188775e-05
MLI,1.4389224876796456,0.05144990907196298,-0.0010331921900773866,0.05289668198421095,0.0064471949187779225,3.061098487266233e-05
MMR,1.4791161326677202,0.05841508436938568,-0.0011978756874730587,0.039450265919598736,0.006193355946466211,2.5180349278907232e-05
MNE,0.7446405678015846,0.06203947892488948,-0.0011316346159684354,0.26288781712137815,0.01169082334068437,9.995253219658645e-05
MNG,1.2164446390774601,0.05450293257793615,-0.0010920933750764306,0.10735704292192899,0.007563776947785885,5.504194886565078e-05
MOZ,1.1789788656799425,0.06699122174794014,-0.0012418336456922266,0.09125688899955248,0.007569943729032632,5.255269500300539e-05
MRT,1.2344543220341624,0.0518608054552295,-0.001010669429965222,0.05417099644144324,0.0061624160926984015,2.47072425691834e-05
MUS,1.2256404166870358,0.04737148143887487,-0.001017334881151119,0.08282655024643096,0.006902390616221746,4.425182770392716e-05
MWI,1.3596876149379309,0.05093074155238428,-0.0010206781433181739,0.045797360635490184,0.006198123471269616,2.3866100983344325e-05
MYS,1.2582547372750634,0.047471403884564396,-0.0010120020880298349,0.05478574939381216,0.00622013946193251,2.3956965844431752e-05
NAM,0.937647895109259,0.0592592377275203,-0.0011190409043541905,0.09612200600411792,0.007460252852181744,5.2579053366189146e-05
NER,1.2697831308862724,0.05697845405311057,-0.0010539477701982936,0.053365863646933555,0.005961278062161932,2.4539609054197396e-05
NGA,1.1817271438988284,0.05406252260653331,-0.0010561421276570337,0.054865664015695224,0.006154785555197163,2.392699119369538e-05
NIC,1.1608743954348426,0.05281138595278101,-0.001021407462996695,0.05552000438998808,0.0061168051753752615,2.406909317895585e-05
NLD,0.8933508993747253,0.04858730279600881,-0.0009984506861775572,0.04380400758504363,0.006030231337303383,2.3898578643847126e-05
NOR,0.916686448053242,0.04743019582731761,-0.0009910060780988772,0.049034875320206124,0.005934341066828205,2.411129970564906e-05
NPL,1.296140557281073,0.05448840820493636,-0.0010901736411866036,0.04688243551620138,0.006176249638099754,2.402156838631265e-05
NZL,0.8975517990868099,0.048682692131801375,-0.000993215345464482,0.07911235883798987,0.0069846703893866975,4.615331605644505e-05
OMN,1.3269724887912788,0.03415668973196445,-0.0008189228675613072,0.056298114884085475,0.0061818062482530915,2.868779911944703e-05
PAK,1.3422388103170857,0.04850671575581855,-0.0010071658059401661,0.04775037393542579,0.006263203619936976,2.39225430153608e-05
PAN,1.1425046921375852,0.04905653186689796,-0.0010111857000296744,0.055257466463072336,0.006176693795751744,2.3903322280654195e-05
PER,1.0269025531441272,0.052607526326766144,-0.001043960643147962,0.04863707375340671,0.006211249875729508,2.4009320282693592e-05
PHL,1.2444602550082284,0.05105928865331492,-0.0010261427546308585,0.05422578349147159,0.0061960600786518565,2.388543267064786e-05
PNG,1.1618041677405941,0.049616094654230045,-0.0009892769066838503,0.052952274767512394,0.006170473620695046,2.3878760918018252e-05
POL,1.1365205740251665,0.046749016626090725,-0.0010004952295453173,0.18000996678663417,0.009454009784270316,7.936024046559913e-05
PRI,1.0542713164867088,0.0466265489497075,-0.0009886545361014257,0.05300045164883524,0.006034330756465497,2.39663671498551e-05
PRT,1.0272297698904058,0.04541502989398133,-0.0009643646071216538,0.048740901411947805,0.005994228220772988,2.4050531571471524e-05
PRY,1.1817714049546608,0.047924010062144896,-0.0009994874910822377,0.05238746380629834,0.006172638729236588,2.3946039721721003e-05
PSE,0.8315286183890587,0.06434578363789073,-0.0011679129944973665,0.2180613662512517,0.010735255359767134,9.103248810083866e-05
QAT,-0.3859162577222636,0.10785773328265613,-0.0016145425482345654,0.29853981705455845,0.012755198535734157,0.00010884721476956143
ROU,0.607281994888739,0.06886343638939188,-0.0012189521573224837,0.17928312573114655,0.009514460726402389,7.93753741605331e-05
